일련번호,의료기관명,병상수,소재지,설립구분,개설일자,전화번호,데이터기준일자
457,굿네스의원,2,"창원시 성산구 중앙대로 114, 4층 (상남동, SC제일은행)",민간,2011-11-18,055-246-0333,2023-12-31
458,서울산부인과의원,0,"창원시 성산구 원이대로 664 (상남동, 창원메디컬5,6층)",민간,2011-09-02,055-267-2290,2023-12-31
459,옥광휘신경외과의원,0,창원시 의창구 원이대로285번길 5 (봉곡동),민간,2011-06-30,055-250-6000,2023-12-31
460,끌림365의원,0,"창원시 성산구 원이대로 320, 더시티세븐 (대원동)",민간,2011-04-26,055-276-3650,2023-12-31
461,아름다운피부과의원,0,창원시 성산구 가양로124번길 1 (대방동),민간,2011-04-26,055-245-0808,2023-12-31
462,브랜든시티의원,0,"창원시 성산구 원이대로 320, 더시티세븐 T동 601호 (대원동)",민간,2011-01-11,055-276-7585,2023-12-31
463,맑은피부과의원,0,"창원시 성산구 원이대로 654 (상남동, 세인프라자3층)",민간,2010-04-20,055-283-7555,2023-12-31
464,하얀세상의원,0,"창원시 성산구 원이대로 678 (상남동, 2층201호)",민간,2010-03-17,055-261-0105,2023-12-31
465,석재활의학과의원,0,"창원시 의창구 팔용로 429 (팔용동, 팔용프라자204호)",민간,2010-02-17,055-253-7171,2023-12-31
466,서울밸런스의원,0,"창원시 성산구 상남로 73 (상남동, 서울메디컬센터 4층)",민간,2009-11-24,055-282-7555,2023-12-31
467,온소아청소년과이비인후과의원,0,창원시 의창구 북면 감계로 304 (재성빌딩 204호),민간,2009-11-02,055-298-6075,2023-12-31
468,동화의원,0,창원시 의창구 동읍 동읍로 5 (덕산빌딩2층),민간,2009-10-20,055-252-0840,2023-12-31
469,로뎀재활의학과의원,0,"창원시 성산구 동산로 124, 5층 507-A, 507-B호호 (상남동, 성원그랜드쇼핑)",민간,2009-09-14,055-282-0116,2023-12-31
470,미즈유외과의원,4,창원시 성산구 상남로 122 (상남동),민간,2009-08-05,055-263-6875,2023-12-31
471,터직업환경의학과의원,0,"창원시 성산구 중앙대로39번길 6 (중앙동, 제일상가 308-315호)",민간,2009-05-21,055-261-0600,2023-12-31
472,로즈맘여성산부인과의원,10,"창원시 의창구 평산로 96 (팔용동, (웰빙프라자309,310호))",민간,2009-04-24,055-253-7722,2023-12-31
473,송진호마취통증의학과의원,0,"창원시 성산구 동산로 124, 성원아파트 성원종합상가 5층 519호 (상남동)",민간,2009-03-25,055-253-1375,2023-12-31
474,한솔마취통증의학과의원,0,"창원시 의창구 우곡로217번길 36 (명서동, 모리스빌딩3층)",민간,2009-03-19,055-292-9992,2023-12-31
475,제일의원,0,"창원시 의창구 도계로 69 (도계동, 세영빌딩2층)",민간,2008-12-26,055-277-2888,2023-12-31
476,아름다운산부인과 의원,3,"창원시 의창구 팔용로 442 (팔용동, KB빌딩4층)",민간,2008-09-04,055-253-7585,2023-12-31
477,S성형외과의원,0,"창원시 성산구 원이대로682번길 14 (상남동, 삼광빌딩301호)",민간,2008-07-18,055-289-0300,2023-12-31
478,서울비뇨의학과의원,0,"창원시 의창구 팔용로 438, 팔용종합상가 3층 307호 (팔용동)",민간,2008-04-21,055-255-8875,2023-12-31
479,제일내과의원,0,"창원시 성산구 동산로 166, 사파대동상가 지하7호 7-1호 (사파동)",민간,2007-11-04,055-275-5688,2023-12-31
480,서울아이비안과의원,0,"창원시 성산구 상남로 73 (상남동, 서울메디컬빌딩4층)",민간,2007-09-04,055-274-5027,2023-12-31
481,청솔신경과의원,0,"창원시 의창구 소계로90번길 3-1 (소계동, 1층)",민간,2007-07-05,055-251-0234,2023-12-31
482,제니트비뇨기과의원,0,"창원시 성산구 원이대로 595, 고운메디컬빌딩 3층 302호 (용호동)",민간,2007-05-21,055-285-2727,2023-12-31
483,21세기내과의원,0,"창원시 성산구 반송로 150 (반림동, 회성빌딩3층)",민간,2007-01-10,055-282-3339,2023-12-31
484,아톰소아청소년과의원,0,"창원시 성산구 안민안길 20 (안민동, 103호)",민간,2006-12-15,055-283-5191,2023-12-31
485,아인성형외과의원,0,"창원시 성산구 상남로 118, 4층 402호 (상남동, CNN타워)",민간,2006-11-23,055-286-6565,2023-12-31
486,굿모닝외과의원,7,창원시 의창구 사화로 6 (팔용동),민간,2006-09-29,055-277-8275,2023-12-31
487,21세기정형외과의원,17,"창원시 성산구 반송로 150 (반림동, 회성빌딩4,5층)",민간,2006-09-26,055-285-0021,2023-12-31
488,밝고고운안과의원,0,"창원시 성산구 원이대로 595, 고운메디컬빌딩 7층 (용호동)",민간,2006-07-18,055-283-3200,2023-12-31
489,메디포맨남성의원,0,"창원시 의창구 의창대로62번길 2, 10층 (팔용동, 동영오피스 10층)",민간,2006-06-14,055-298-7515,2023-12-31
490,길흉부외과의원,4,"창원시 성산구 마디미로21번길 17 (상남동, 피아노빌딩8층)",민간,2006-03-27,055-264-1199,2023-12-31
491,내동의원,0,창원시 성산구 창원대로 726 (내동),민간,2006-03-06,055-266-9690,2023-12-31
492,웅이비인후과의원,0,"창원시 성산구 반송로 144 (반림동, 수영빌딩302호)",민간,2005-11-25,055-262-7585,2023-12-31
493,서울가정의원,0,"창원시 의창구 창이대로 203 (봉곡동, 101,102,105,106호)",민간,2005-11-14,055-288-5755,2023-12-31
494,티아라의원,4,"창원시 성산구 상남로 122 (상남동, 롯데메디컬6층)",민간,2005-09-15,055-286-6200,2023-12-31
495,삼성가정의학과의원,0,"창원시 성산구 창이대로 733 (사파동, 사파동성아파트상가A동226,22호)",민간,2005-09-06,055-264-8275,2023-12-31
496,강의원,0,"창원시 성산구 상남로192번길 41-3, 토우빌딩 (신월동)",민간,2005-07-04,055-264-6333,2023-12-31
497,선비뇨기과의원,2,"창원시 성산구 마디미서로 26 (상남동, 한독빌딩11층)",민간,2005-06-10,055-285-7582,2023-12-31
498,삼성연합의원,0,"창원시 성산구 창원천로 288 (반지동, 대동그린코아207-210호,215호)",민간,2005-05-19,055-237-7582,2023-12-31
499,이안과의원,0,창원시 의창구 읍성로 46 (중동),민간,2005-02-04,055-255-8275,2023-12-31
500,정영주안과의원,0,"창원시 성산구 가양로124번길 13 (대방동, 204호)",민간,2005-02-04,055-283-0277,2023-12-31
501,박희용의원,0,"창원시 의창구 팔용로 428 (팔용동, 드림피아상가406호)",민간,2005-02-03,055-297-8891,2023-12-31
502,한솔내과의원,24,"창원시 의창구 우곡로217번길 34 (명서동, 1,2,3,4층)",민간,2004-12-01,055-237-2511,2023-12-31
503,장진호마취통증의학과의원,0,"창원시 성산구 가음로13번길 33 (남양동, 남양종합상가303호)",민간,2004-10-26,055-285-2151,2023-12-31
504,윤앤김연합의원,0,창원시 의창구 동읍 자여로65번길 26 (2층),민간,2004-09-01,055-251-8050,2023-12-31
505,초록내과의원,0,"창원시 성산구 상남로 122 (상남동, 롯데메디컬10층)",민간,2004-07-20,055-274-0355,2023-12-31
506,화이트라인하얀피부과의원,0,"창원시 성산구 마디미서로 26 (상남동, 한독빌딩5층)",민간,2004-06-10,055-274-8275,2023-12-31
507,창원의원,0,창원시 의창구 읍성로 35-1 (북동),민간,2004-05-18,055-251-7979,2023-12-31
508,한미항외과의원,9,"창원시 의창구 의안로2번길 15 (소답동, 3,4층)",민간,2004-04-01,055-256-5610,2023-12-31
509,최이비인후과의원,0,"창원시 성산구 가음로13번길 33 (남양동, 남양상가304호)",민간,2004-03-03,055-266-1861,2023-12-31
510,속시원내과방사선과의원,0,"창원시 의창구 의안로31번길 28-5 (중동, 성우빌딩3,4층)",민간,2004-01-11,055-294-7778,2023-12-31
511,삼성이비인후과의원,0,창원시 의창구 팔용로 439 (팔용동),민간,2004-01-08,055-253-3535,2023-12-31
512,신세계비뇨기과의원,0,"창원시 의창구 의안로2번길 15 (소답동, 1층)",민간,2003-10-22,055-299-7474,2023-12-31
513,나병천정형외과의원,0,"창원시 성산구 가양로124번길 5-3 (대방동, 3,6층)",민간,2003-08-13,055-264-7582,2023-12-31
514,현대소아청소년과의원,0,창원시 의창구 동읍 동읍로 1,민간,2003-06-25,055-252-0964,2023-12-31
515,창원마취통증의학과의원,0,"창원시 의창구 명지로84번길 4 (명서동, 조아쇼핑202호)",민간,2003-05-24,055-238-5577,2023-12-31
516,이곤희가정의학과의원,0,"창원시 성산구 마디미서로 51, 4층 401호 (상남동, 서울메디칼빌딩 4층 401호)",민간,2003-02-28,055-242-7931,2023-12-31
517,강내과의원,0,"창원시 의창구 천주로 24 (서상동, 2층)",민간,2003-01-18,055-295-7838,2023-12-31
518,베스트의원,0,"창원시 성산구 마디미서로 51 (상남동, 서울메디컬빌딩 3층)",민간,2002-11-18,055-281-6677,2023-12-31
519,한병리과의원,0,"창원시 성산구 용지로 225 (용호동, 롯데상가3층302,304호)",민간,2002-10-12,055-285-9914,2023-12-31
520,대화이비인후과가정의학과의원,0,"창원시 성산구 대정로 77 (남양동, 성원1차아파트301,302,307,308호)",민간,2002-10-08,055-285-3501,2023-12-31
521,사림우리들의원,0,"창원시 의창구 사림로 47 (사림동, 사림프라자)",민간,2002-07-25,055-266-4337,2023-12-31
522,조은세상의원,0,"창원시 성산구 대암로 272 (대방동, 대방2차덕산타운)",민간,2002-07-19,055-275-7300,2023-12-31
523,밝은미래안과의원,4,"창원시 성산구 상남로 122 (상남동, 롯데메디컬)",민간,2002-07-03,055-282-9100,2023-12-31
524,정비뇨기과의원,0,"창원시 성산구 상남로 122 (상남동, 롯데메디컬)",민간,2002-07-03,055-281-7680,2023-12-31
525,이보람산부인과의원,0,"창원시 성산구 원이대로 591 (용호동, X프리빌딩)",민간,2002-05-07,055-262-8223,2023-12-31
526,박성희소아청소년과의원,0,"창원시 의창구 읍성로 60, 3층 (소답동)",민간,2002-05-02,055-252-8575,2023-12-31
527,백승호가정의학과의원,0,"창원시 의창구 도계로 57 (도계동, 도계중앙빌딩)",민간,2002-05-01,055-288-7588,2023-12-31
528,선린자모의원,24,"창원시 성산구 가양로124번길 7 (대방동, 선린빌딩)",민간,2002-04-17,055-266-6655,2023-12-31
529,서원교비뇨기과의원,0,"창원시 성산구 가양로124번길 15 (대방동, 대암빌딩)",민간,2002-04-10,055-285-5614,2023-12-31
530,내외상시인의원,0,"창원시 성산구 동산로 162 (사파동, 무궁화상가 2층)",민간,2002-03-15,055-286-3688,2023-12-31
531,시민내과의원,0,"창원시 의창구 원이대로 271 (봉곡동, 한마음타워)",민간,2002-03-02,055-276-0044,2023-12-31
532,안민하나의원,0,"창원시 성산구 안민로117번길 8 (안민동, 송원상가 201호)",민간,2002-03-02,055-282-9452,2023-12-31
533,구교준이비인후과의원,0,창원시 성산구 가양로124번길 17-12 (실로암빌딩 301),민간,2002-01-14,055-261-6836,2023-12-31
534,이길수이비인후과의원,0,"창원시 성산구 원이대로 666 (상남동, 금강빌딩)",민간,2001-11-05,055-267-8400,2023-12-31
535,안호준피부비뇨기과의원,0,"창원시 의창구 의창대로 72 (팔용동, 현대메디칼)",민간,2001-09-18,055-253-9080,2023-12-31
536,정태호내과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,2001-08-23,055-282-8808,2023-12-31
537,예인소아청소년과의원,0,"창원시 의창구 북면 감계로110번길 54-39, 4층 401,402호",민간,2001-08-01,055-237-8868,2023-12-31
538,하얀나라피부과의원,0,"창원시 성산구 마디미로21번길 17 (상남동, 피아노빌딩 3층)",민간,2001-04-18,055-285-4885,2023-12-31
539,삼성내과의원,0,"창원시 성산구 가양로124번길 17-16 (대방동, 동진메디칼)",민간,2001-04-17,055-285-1613,2023-12-31
540,꿈나무의원,0,"창원시 성산구 가양로124번길 23 (대방동, 크리스탈빌딩 7층)",민간,2001-04-14,055-286-7676,2023-12-31
541,조상일정형외과의원,26,"창원시 의창구 남산로 3 (팔용동, 현대빌딩)",민간,2001-04-07,055-292-3700,2023-12-31
542,창원연합내과영상의학과의원,0,"창원시 성산구 원이대로 664 (상남동, 창원메디컬)",민간,2001-03-31,055-266-1143,2023-12-31
543,바른마취통증의학과의원,0,"창원시 의창구 의창대로62번길 2 (팔용동, 동영오피스)",민간,2001-02-26,055-297-7565,2023-12-31
544,최정미산부인과의원,0,창원시 의창구 읍성로 38 (중동),민간,2001-02-07,055-252-7553,2023-12-31
545,영남제통마취통증의학과의원,0,"창원시 성산구 원이대로473번길 21 (반림동, 반림상가)",민간,2001-01-27,055-267-6762,2023-12-31
546,황내과의원,0,"창원시 성산구 창원천로 34, 2층 207-209호 (대원동, 대원 꿈에그린)",민간,2000-12-23,055-238-1752,2023-12-31
547,김서규이비인후과의원,0,"창원시 의창구 의안로31번길 28-10 (중동, 이제메디칼3층)",민간,2000-10-31,055-293-5500,2023-12-31
548,서울피부과의원,0,"창원시 성산구 원이대로 595 (용호동, 고운메디컬빌딩)",민간,2000-09-01,055-261-7007,2023-12-31
549,박창현신경외과의원,0,"창원시 성산구 가양로124번길 17-12 (대방동, 실로암빌딩)",민간,2000-03-25,055-275-7588,2023-12-31
550,박승호방사선과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1999-08-31,055-267-4001,2023-12-31
551,파티마소아청소년과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1999-08-24,055-282-8275,2023-12-31
552,이종인소아청소년과의원,0,"창원시 의창구 반계로 98 (팔용동, 벽산블루밍아파트 상가)",민간,1999-08-16,055-251-8275,2023-12-31
553,김내과의원,0,"창원시 의창구 반계로 98 (팔용동, 벽산블루밍아파트 상가)",민간,1999-07-29,055-297-7636,2023-12-31
554,정마취통증의학과의원,0,창원시 의창구 의안로31번길 28-5 (중동),민간,1999-06-23,055-251-6151,2023-12-31
555,유내과의원,0,"창원시 성산구 원이대로883번길 15-24 (가음동, 가음시장대상가)",민간,1999-06-23,055-264-0300,2023-12-31
556,중앙내과방사선과의원,0,"창원시 의창구 읍성로 46 (중동, 덕산메디칼)",민간,1999-05-07,055-251-2626,2023-12-31
557,이현제니스의원,0,창원시 의창구 지귀로 6 (봉곡동),민간,1999-04-24,055-265-8275,2023-12-31
558,인구보건복지협회경남지회 가족보건의원,0,"창원시 성산구 외동반림로126번길 56 (중앙동, 신관1,2층,구관1층)",민간,1999-03-30,055-282-2222,2023-12-31
559,박외과의원,0,창원시 의창구 대산면 주남로 574-8,민간,1999-02-20,055-291-4271,2023-12-31
560,김건용내과의원,0,"창원시 의창구 원이대로189번길 38 (명서동, 한성상가)",민간,1999-01-23,055-273-7711,2023-12-31
561,최봉기내과의원,0,"창원시 성산구 동산로 156 (사파동, 삼익종합상가)",민간,1999-01-16,055-287-5822,2023-12-31
562,팽봉기정형외과의원,29,"창원시 의창구 원이대로 269 (봉곡동, 한빛메디칼센터)",민간,1999-01-14,055-276-7582,2023-12-31
563,대항-청맥외과의원,5,"창원시 성산구 원이대로 664, 7층 (상남동, 창원메디컬)",민간,1998-12-09,055-283-8085,2023-12-31
564,영남의원,0,"창원시 성산구 신촌로 17 (신촌동, 낙지마당 양곡점)",민간,1998-08-01,055-286-1542,2023-12-31
565,연세이비인후과의원,0,"창원시 의창구 원이대로 283 (봉곡동, 청마상가)",민간,1998-01-05,055-238-2146,2023-12-31
566,새롬의원,0,"창원시 성산구 원이대로 654 (상남동, 세인프라자601호)",민간,1997-09-01,055-262-7533,2023-12-31
567,서울소아청소년과의원,0,"창원시 성산구 대정로 135 (대방동, 대방덕산타운)",민간,1997-03-25,055-282-1213,2023-12-31
568,임내과의원,0,"창원시 성산구 가양로124번길 17-12 (대방동, 실로암빌딩)",민간,1997-03-19,055-275-7580,2023-12-31
569,혜민의원,0,창원시 의창구 대산면 주남로 573,민간,1997-03-03,055-291-6477,2023-12-31
570,김준욱내과의원,0,"창원시 성산구 대정로 102 (남양동, 개나리3차아파트)",민간,1996-10-16,055-287-3366,2023-12-31
571,세일의원,0,"창원시 성산구 대암로 110 (대방동, 성원남산3차아파트)",민간,1996-10-08,055-262-8317,2023-12-31
572,정태기내과의원,29,"창원시 의창구 동읍 동읍로 9 (2,3층)",민간,1996-09-04,055-251-5390,2023-12-31
573,대방의원,0,"창원시 성산구 대정로 138 (대방동, 대방대동아파트)",민간,1996-06-28,055-287-8406,2023-12-31
574,소리사랑이비인후과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1996-01-08,055-264-9990,2023-12-31
575,녹십자의원,0,창원시 성산구 원이대로883번길 15-34 (가음동),민간,1995-11-01,055-287-6565,2023-12-31
576,탁이비인후과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1995-08-17,055-261-1830,2023-12-31
577,성민성형외과의원,0,"창원시 성산구 원이대로 587 (용호동, 정우상가)",민간,1995-05-08,055-261-3200,2023-12-31
578,조의제비뇨기과의원,0,"창원시 의창구 원이대로 283 (봉곡동, 청마상가)",민간,1995-05-01,055-265-3749,2023-12-31
579,대동외과의원,0,"창원시 성산구 원이대로 716 (상남동, 대동메디칼)",민간,1995-04-06,055-289-6770,2023-12-31
580,곽이비인후과의원,0,"창원시 의창구 창이대로309번길 7 (봉곡동, 중앙상가 202호)",민간,1995-03-28,055-237-8073,2023-12-31
581,소병헌이비인후과의원,0,"창원시 의창구 도계로 63 (도계동, 중앙상가연립)",민간,1995-03-08,055-277-0556,2023-12-31
582,박일순비뇨기과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1994-09-16,055-281-5554,2023-12-31
583,최상호소아청소년과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1994-09-01,055-261-5176,2023-12-31
584,차내과의원,3,"창원시 의창구 원이대로 283, 2층 206호 (봉곡동, 청마상가)",민간,1994-04-19,055-238-2534,2023-12-31
585,이부경내과의원,0,"창원시 의창구 도계로 61 (도계동, 의창새마을금고)",민간,1993-07-28,055-277-6084,2023-12-31
586,이대규내과의원,0,창원시 의창구 읍성로 77 (소답동),민간,1993-06-17,055-295-2758,2023-12-31
587,세준검진의원,0,"창원시 성산구 원이대로 320 (대원동, 더시티세븐상업동T501-2호)",민간,1992-06-25,055-277-3111,2023-12-31
588,고운피부과의원,0,창원시 성산구 동산로 124 (상남동),민간,1992-04-28,055-264-2644,2023-12-31
589,유명호안과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1992-03-03,055-262-8203,2023-12-31
590,최성근이비인후과의원,0,"창원시 성산구 동산로 124 (상남동, 성원그랜드쇼핑)",민간,1992-03-03,055-263-9064,2023-12-31
591,메디컬조의원,0,"창원시 의창구 소계로 83-5 (소계동, 해맑은한의원)",민간,1992-02-27,055-256-1163,2023-12-31
592,서일의원,0,창원시 의창구 북면 천주로 1161,민간,1991-12-14,055-298-4624,2023-12-31
593,최익수의원,0,"창원시 의창구 태복산로3번길 35 (도계동, 최익수의원)",민간,1991-03-16,055-277-2301,2023-12-31
594,안내과의원,0,"창원시 성산구 대정로 33 (가음동, 황금상가)",민간,1991-02-19,055-262-0438,2023-12-31
595,최재선안과의원,0,"창원시 의창구 원이대로 283 (봉곡동, 청마상가)",민간,1991-02-19,055-238-2010,2023-12-31
596,참예쁜의원,0,"창원시 의창구 원이대로 283 (봉곡동, 청마상가)",민간,1990-12-05,055-238-1700,2023-12-31
597,조내과의원,0,"창원시 의창구 창이대로309번길 11 (봉곡동, 쌍둥이상가B동2층)",민간,1990-11-30,055-237-2552,2023-12-31
598,엘르메디여성의원,9,"창원시 의창구 서상로 1 (동정동, 엘르메디의원)",민간,1990-09-14,055-253-2111,2023-12-31
599,허내과의원,0,창원시 의창구 소계로84번길 3 (소계동),민간,1990-05-01,055-296-8877,2023-12-31
600,고외과의원,0,"창원시 성산구 동산로 124 (상남동, 성원종합상가504호)",민간,1990-05-01,055-281-0156,2023-12-31
601,봉의원,0,창원시 의창구 창이대로 201 (봉곡동),민간,1989-04-18,055-288-0181,2023-12-31
602,이재철피부과의원,0,"창원시 성산구 원이대로 587, 정우상가 3층 305호 (용호동)",민간,1989-03-25,055-281-3456,2023-12-31
603,최연극내과의원,0,"창원시 성산구 원이대로 587, 정우상가 3층 301호 (용호동)",민간,1989-02-14,055-281-5356,2023-12-31
604,윤종즙이비인후과의원,0,"창원시 성산구 원이대로 587, 정우상가 3층 (용호동)",민간,1988-10-05,055-287-8667,2023-12-31
605,김선경외과 박찬모내과의원,0,"창원시 성산구 원이대로473번길 13 (반림동, 2층)",민간,1983-05-28,055-283-6700,2023-12-31
606,정내과의원,0,"창원시 성산구 용지로 102 (중앙동, 개나리상가3층)",민간,1980-01-31,055-279-0772,2023-12-31
607,서민아산부인과의원,0,"창원시 마산회원구 양덕로 190, 7층 702호 (석전동)",민간,2023-03-28,055-800-8088,2023-12-31
608,서울튼튼정형외과의원,0,"창원시 마산회원구 용마로 130, 7층 701, 702호 (양덕동)",민간,2022-11-15,055-601-0800,2023-12-31
609,고운메디컬의원,0,"창원시 마산합포구 가포순환로 33, 상가1동 201-1호 (월영동, 마린애시앙부영)",민간,2022-09-13,055-243-7577,2023-12-31
610,맘편한여성의원,0,"창원시 마산회원구 북성로 108, 정영빌딩 2층 (회원동)",민간,2022-05-23,055-242-0776,2023-12-31
611,바로그의원,0,"창원시 마산합포구 삼호로 45, 2층 (산호동)",민간,2022-04-25,055-715-6464,2023-12-31
612,마디척의원,0,"창원시 마산회원구 내서읍 삼계로 9, 삼계크리닉빌딩 501호",민간,2022-04-06,055-232-7500,2023-12-31
613,서울정석정형외과의원,0,"창원시 마산합포구 해안대로 7, 경남은행 6층 603호 (월남동5가)",민간,2021-10-07,055-242-8500,2023-12-31
614,참좋은내과의원,0,"창원시 마산합포구 합포로 42, 2층 (남성동)",민간,2021-09-29,055-716-0708,2023-12-31
615,편하지의원,0,"창원시 마산회원구 용마로 130, 5층 (양덕동)",민간,2020-10-08,1833-4275,2023-12-31
616,몸편한재활의학과의원,0,"창원시 마산회원구 3·15대로 733, 2층 (합성동)",민간,2020-06-08,055-715-7150,2023-12-31
617,연세편한마디내과의원,0,"창원시 마산회원구 3·15대로 770, 2,3층 (합성동)",민간,2020-03-21,055-223-8275,2023-12-31
618,더나은의원,0,"창원시 마산회원구 삼호로 80 (양덕동, 메트로시티 2단지)",민간,2020-02-24,055-292-3322,2023-12-31
619,엠에스피부과의원,0,"창원시 마산합포구 동서동2길 60, 3층 307~310호 (신포동2가)",민간,2020-01-30,055-243-3600,2023-12-31
620,서울삼성정형외과의원,0,"창원시 마산합포구 합포로 21, IBK저축은행 3층 (수성동)",민간,2019-12-02,055-221-0333,2023-12-31
621,박지성비뇨의학과의원,0,"창원시 마산회원구 3·15대로 780, 2층 (합성동)",민간,2019-12-02,055-293-6188,2023-12-31
622,척고은마취통증의학과의원,0,창원시 마산합포구 동서동2길 60 (신포동2가),민간,2019-10-01,055-6021-000,2023-12-31
623,박주현산부인과의원,0,"창원시 마산회원구 용마로 130, 메트로센텀 406호 (양덕동)",민간,2019-04-10,055-715-2200,2023-12-31
624,메트로 정형외과의원,0,"창원시 마산회원구 양덕로 120, 금천빌딩 2층 (양덕동)",민간,2019-02-01,055-296-0119,2023-12-31
625,더블유이비인후과의원,0,"창원시 마산합포구 월영남로 3, 403호 (해운동)",민간,2019-01-07,055-222-4008,2023-12-31
626,조수현신경과의원,0,"창원시 마산합포구 진동면 삼진의거대로 654, 진동농업협동조합 2층",민간,2018-12-24,055-271-8575,2023-12-31
627,시원한통사랑외과의원,0,"창원시 마산회원구 내서읍 삼계로 12, 4층 402호",민간,2018-09-13,055-231-7573,2023-12-31
628,현동라온소아청소년과의원,0,"창원시 마산합포구 현동1길 4-10, 2층 202호 (현동)",민간,2018-08-23,055-246-7552,2023-12-31
629,마산역신통의원,0,"창원시 마산회원구 마산역광장로 2, 2층 (석전동)",민간,2018-02-14,055-715-2075,2023-12-31
630,서울대화외과의원,25,"창원시 마산합포구 삼호로 45, 4, 5층 (산호동)",민간,2018-02-05,055-241-2119,2023-12-31
631,백이비인후과의원,0,"창원시 마산합포구 해안대로 7, 경남은행 301, 304호 (월남동5가)",민간,2018-01-11,055-224-0911,2023-12-31
632,바른손길마취통증의학과의원,0,"창원시 마산합포구 삼호로 45, 3층 (산호동)",민간,2017-12-07,055-602-0088,2023-12-31
633,수미래의원,0,"창원시 마산합포구 월영남로 3, 3층 (해운동)",민간,2017-09-15,055-247-7080,2023-12-31
634,뷰티제이의원,0,"창원시 마산회원구 양덕로 190, 7층 (석전동)",민간,2017-03-16,055-255-8100,2023-12-31
635,서울가정의학과의원,0,"창원시 마산합포구 현동4길 5, 3층 2, 3호 (현동)",민간,2016-09-13,055-242-7583,2023-12-31
636,양덕제일의원,0,창원시 마산회원구 양덕로 145 (양덕동),민간,2016-05-09,055-296-2600,2023-12-31
637,서울명외과의원,0,창원시 마산합포구 진동면 진북산업로 31,민간,2016-03-10,055-272-0083,2023-12-31
638,리엔신경과의원,0,창원시 마산회원구 내서읍 삼계로 10 (튼튼한약국),민간,2016-02-29,055-222-7582,2023-12-31
639,제니트비뇨기과의원,0,"창원시 마산회원구 내서읍 삼계로 7, 경남프라자동 6층 (가나약국)",민간,2016-01-06,055-601-1122,2023-12-31
640,신세계제통의원,0,"창원시 마산회원구 율림교로 13, 5층 (양덕동, 메트로엠)",민간,2015-11-17,055-255-9914,2023-12-31
641,새삼성내과의원,0,창원시 마산회원구 내서읍 삼계4길 34,민간,2015-09-04,055-231-5502,2023-12-31
642,중앙이비인후과의원,4,"창원시 마산합포구 3·15대로 192 (중앙동2가, 중앙동메디칼)",민간,2015-02-11,055-241-0008,2023-12-31
643,리엔의원,0,창원시 마산회원구 3·15대로 737 (합성동),민간,2014-04-24,055-255-1380,2023-12-31
644,서울의원,0,창원시 마산회원구 구암서6길 3 (구암동),민간,2013-10-29,055-294-8275,2023-12-31
645,합포중앙의원,0,"창원시 마산합포구 3·15대로 185, 4층 (중앙동2가)",민간,2013-09-23,055-246-8275,2023-12-31
646,항도외과의원,10,"창원시 마산합포구 3·15대로 255 (중앙동3가, 경남데파트)",민간,2013-07-25,055-244-7242,2023-12-31
647,라파의원,0,"창원시 마산회원구 석전동13길 18-30, 2층 (석전동)",민간,2013-05-21,055-295-3700,2023-12-31
648,진동삼성내과의원,0,"창원시 마산합포구 진동면 삼진의거대로 618, 202호",민간,2013-04-22,055-271-5931,2023-12-31
649,김앤김내과의원,0,"창원시 마산회원구 북성로 106 (회원동, 환금프라자)",민간,2013-03-07,055-246-0210,2023-12-31
650,박영호내과의원,0,"창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2012-10-22,055-243-8575,2023-12-31
651,아인스안과의원,0,"창원시 마산회원구 3·15대로 778 (합성동, 정비인후과의원)",민간,2012-07-02,055-294-7442,2023-12-31
652,메트로이비인후과의원,0,"창원시 마산회원구 양덕서로 47 (양덕동, 메트로스퀘어5)",민간,2012-04-25,055-299-2552,2023-12-31
653,참제일의원,0,"창원시 마산합포구 용마로 51 (산호동, 참빛제일의원)",민간,2012-03-06,055-222-0436,2023-12-31
654,큰나무정형외과의원,0,창원시 마산합포구 합포로 64 (동성동),민간,2012-01-17,055-221-3334,2023-12-31
655,BBC의원,1,"창원시 마산회원구 3·15대로 775 (합성동, 합성메디칼센타)",민간,2011-07-28,055-256-9633,2023-12-31
656,쉬즈미의원,0,창원시 마산회원구 내서읍 호원로 385,민간,2011-05-17,055-231-6617,2023-12-31
657,상쾌한항맥외과의원,7,"창원시 마산합포구 해안대로 7 (월남동5가, 경남은행)",민간,2010-06-10,055-222-0975,2023-12-31
658,삼성시원비뇨기과의원,3,"창원시 마산회원구 3·15대로 727 (합성동, 매디칼센타)",민간,2010-04-20,055-252-1100,2023-12-31
659,하희근내과의원,0,창원시 마산회원구 내서읍 삼계로 9 (남해횟집),민간,2010-03-09,055-232-0083,2023-12-31
